x,y,xa,ya
100,160,98.1,190.2
170,221,166.7,218.5
150,220,147.8,218.6
-100,220,-90.5,224.8
130,320,129.6,315.3
70,280,68.8,275.1
30,280,30.9,275.3
30,220,29.7,221.9
70,220,67,220
70,380,73,369.3
30,380,33.9,369
30,320,33.3,314.2
70,320,70.7,315.1
170,220,167.1,216.6
130,220,127,218.3
170,280,168.6,273.6
130,280,128.8,273.7
50,250,50.9,248.7
-350,205,-310.32987525798967,244.6831047849844
-350,210,-310.1955003112893,248.55020329195054
-350,215,-309.77662571832104,253.04503093370104
-350,220,-308.90805065150374,257.860284062191
-350,225,-308.66982072123295,261.9097633864741
-350,230,-308.9389424070286,267.25334461426286
-350,235,-308.662321827193,271.3945594190941
-350,240,-308.67207698467047,276.69228331283614
-350,245,-308.68268699867554,279.7583940310174
-350,250,-308.7162326543476,285.5019609972145
-350,255,-308.2623884785908,289.6013958392324
-350,260,-308.53539345447234,293.6337524679203
-350,265,-307.8333063336103,297.90528222164795
-350,270,-307.8901890068171,303.1131021664371
-350,275,-307.60540096679284,308.07527325742836
-350,280,-307.71228801333154,313.2466543087138
-350,285,-308.13666019294783,317.5299643916172
-350,290,-307.91204158535993,321.34482912120495
-350,295,-307.7468993801219,327.05892789946876
-350,300,-308.0815072923821,331.2751558889252
-350,305,-306.9163457142877,334.6804298370581
-350,310,-306.12574570741975,339.999250738263
-350,315,-306.76539949065284,345.16074744323674
-350,320,-307.1522618713114,350.46271414423893
-350,325,-305.6547084800235,354.15331952629754
-350,330,-305.8291918504185,358.1362979413871
-350,335,-305.8121408207569,364.27205708742747
-350,340,-306.0125738340795,367.5236033287439
-350,345,-305.8893282429849,372.95035653739154
-350,350,-304.6949504129698,377.3900764404205
-350,355,-305.9203224188002,383.0279746064915
-350,360,-305.8291008059292,385.9504147216301
-345,200,-306.130124654593,239.8592343427777
-345,205,-305.828609382127,243.12797386301318
-345,210,-305.49081292517485,247.7736794677659
-345,215,-305.53098420929547,253.8697498831429
-345,220,-305.18026899539586,257.2978814329557
-345,225,-305.01709551431895,267.0042639501668
-345,230,-304.4869716040075,270.2497151198495
-345,235,-304.7325256397022,275.0054636013604
-345,240,-304.354321040003,281.0283650397825
-345,245,-303.6301708289769,284.9393131829787
-345,250,-303.8952880056411,290.7214896344213
-345,255,-303.82542212756834,293.5646308426771
-345,260,-304.41136337867295,294.88537886601466
-345,265,-303.94438569966024,298.905731780084
-345,270,-304.50286605568607,303.5674220806187
-345,275,-303.8396627894883,308.65754148716394
-345,280,-303.6772969827715,313.6475465990673
-345,285,-303.5282483500977,316.7294873152622
-345,290,-302.74250950610764,321.3635759803101
-345,295,-303.0613953416942,325.98725468801297
-345,300,-302.5945884909537,330.95150402759947
-345,305,-302.4066156052301,335.05345543883766
-345,310,-302.31377684538955,339.8294077510963
-345,315,-301.92053642415453,343.70997308933363
-345,320,-302.4200144365707,350.3369274250291
-345,325,-301.26281400508014,354.0151104553799
-345,330,-301.8918345370597,359.34667301206633
-345,335,-301.9905925322392,363.60247978743615
-345,340,-301.6003939426561,367.4987445860219
-345,345,-301.3573987533191,372.03770334009255
-345,350,-301.66109829533093,377.09005094562946
-345,355,-301.5727893869805,381.671781281635
-345,360,-301.3079546404454,385.94379306479294
-345,365,-301.1751285037965,390.6996603216933
-345,370,-301.06076586671554,395.663807465558
-340,205,-302.29214651172776,242.81013522786725
-340,210,-301.7649165378716,247.61744104700844
-340,215,-302.35071488817704,252.13254087834065
-340,220,-301.622889548325,256.7091064405464
-340,225,-301.4517000580007,261.5511461986047
-340,230,-300.6593705985905,265.0464192984356
-340,235,-301.4707240067912,269.8256352729658
-340,240,-300.86472110607303,275.574788891961
-340,245,-300.6927923893157,278.87968154168334
-340,250,-300.68395268404083,283.3049464676408
-340,255,-300.8183988509713,288.7788419040108
-340,260,-300.390571707274,293.30840678526624
-340,265,-300.1148541751002,297.42243694104855
-340,270,-300.2726068990164,302.06674697402497
-340,275,-299.8314368922383,306.87471637696274
-340,280,-299.6998678606028,312.3408322328955
-340,285,-299.86769031831335,315.91499179181017
-340,290,-299.8669739409768,319.85863259547733
-340,295,-299.54752445190945,324.42185935210205
-340,300,-299.1184555168302,330.6848492866624
-340,305,-298.3825056996941,334.98569793932893
-340,310,-299.0540935011452,341.0927614856267
-340,315,-298.5979277524311,343.5552595401064
-340,320,-298.7884603999899,348.4593121284437
-340,325,-298.0151392100248,354.17209314156673
-340,330,-298.5205882546586,358.65496331136296
-340,335,-297.49402437863375,363.2808557545887
-340,340,-297.712010795174,367.7380740624996
-340,345,-296.82138217861956,371.7978199663563
-340,350,-298.30782162625326,376.90412763852873
-340,355,-297.39988351517746,381.11136663891824
-340,360,-297.81746885395546,385.02522445423347
-340,365,-297.14552204715204,389.87053820113425
-340,370,-296.8512855432485,395.2304614496781
-340,375,-296.11771235309755,399.9004958545102
-340,380,-297.0350781340702,404.29293064305824
-340,385,-297.06626805182367,409.7447145007532
-335,200,-302.0258768115658,148.61558595175254
-335,205,-302.0402455727271,152.46664813705277
-335,210,-301.97380853369106,156.87786493538255
-335,215,-301.4474286843182,161.89962135124313
-335,220,-301.8049294872686,166.25798612226285
-335,225,-301.23617176396544,171.80606789493118
-335,230,-301.09473090959335,175.41449499464085
-335,235,-300.7928828184356,179.96182921763295
-335,240,-300.7396896464682,184.32296648712213
-335,245,-300.35890427805475,189.05752470280277
-335,250,-300.4613416208707,194.03656533476007
-335,255,-300.1571505651031,199.3003589298187
-335,260,-299.4163371238234,203.7109038505143
-335,265,-299.3884414225096,207.71335988617184
-335,270,-299.3966601766745,212.14650070947212
-335,275,-299.0507247080873,217.69779849777134
-335,280,-298.86661084563184,222.05073555662042
-335,285,-298.407213160036,226.15553139056792
-335,290,-298.6210873127159,230.951992989354
-335,295,-297.43663184027474,235.00454901037983
-335,300,-296.1424003221779,239.2220466820489
-335,305,-296.8749867075265,245.28266418024128
-335,310,-297.1439041441,249.79519212527046
-335,315,-295.77948657514224,252.58726657349143
-335,320,-296.4840690812385,257.7473592386717
-335,325,-296.09725869046656,260.62653942885726
-335,330,-295.94113619260764,266.7818075142978
-335,335,-295.7252344873859,271.1646366421753
-335,340,-295.33144285408,275.31549706238366
-335,345,-295.451930569328,279.62444381904214
-335,350,-294.9573152391392,284.4340959193327
-335,355,-295.5163516893173,288.61599722816493
-335,360,-294.9171565966563,293.88567570414807
-335,365,-294.58219548987756,298.4399994768986
-335,370,-294.39063163966324,303.2688945664333
-335,375,-294.6987954784299,308.6580794503681
-330,200,-297.3744503386674,149.56713268542322
-330,205,-297.15226636562244,154.2032703798174
-330,210,-297.47281084744344,158.51528139864598
-330,215,-296.5128746384379,161.71826737584206
-330,220,-296.3824618312406,165.31900302780525
-330,225,-295.5600093438901,170.50020308955578
-330,230,-295.4225716433725,175.67226541643743
-330,235,-295.06219209113027,179.66954101043893
-330,240,-295.5381952458937,185.21915458900722
-330,245,-294.7048989746991,188.5591639663774
-330,250,-294.3537725194674,193.31322977465527
-330,255,-294.07134044299295,198.29979336264816
-330,260,-293.6361941519636,202.00417685415061
-330,265,-293.5650360876668,207.3007303196795
-330,270,-293.84513946931816,212.22859564902964
-330,275,-292.61959709270764,216.7594092139943
-330,280,-291.839092031345,220.99449350918243
-330,285,-293.02945923455434,224.48186184665818
-330,290,-293.6708741384501,230.6366110721573
-330,295,-293.42392344637636,234.70919709264473
-330,300,-293.49826426231743,239.28652793858063
-330,305,-292.98546130848797,244.3865573224111
-330,310,-292.58777040414526,248.77663723134702
-330,315,-292.2040877449485,253.11992716945818
-330,320,-291.96818612521275,257.5277011310108
-330,325,-291.52778334669705,262.45818302141976
-330,330,-292.0536621896994,267.414241597513
-330,335,-291.5713035023172,271.4635669874618
-330,340,-292.2505007603424,275.220838179476
-330,345,-291.2858009930043,279.903282339895
-330,350,-291.75178413359214,285.1007810364436
-330,355,-290.93597891516566,289.5141860458215
-330,360,-290.01903288214703,293.8664454870845
-330,365,-289.451188058275,298.4741653549594
-330,370,-289.44708845614815,303.7141921868239
-330,375,-289.14942558157077,308.9262975869237
-330,200,-292.883716274982,238.0803052492103
-330,205,-292.4636672756717,244.57717600608095
-330,210,-292.4325184310509,248.03218795083922
-330,215,-292.0826033145711,252.91298349703678
-330,220,-291.68437443307414,256.9432443386537
-330,225,-291.7945635717687,260.8844610603114
-330,230,-291.5266545889258,265.827730941531
-330,235,-291.42085959657,270.30951544471054
-330,240,-291.29832815677247,275.27911296468545
-330,245,-291.32491873777144,279.20976716393693
-330,250,-291.27824244368486,284.57626172770495
-330,255,-291.441107576723,289.62293084019007
-330,260,-291.22839658126026,293.77188727976244
-330,265,-291.2058839504889,300.1096308947167
-330,270,-290.4996628298021,302.3546760788331
-330,275,-290.6902820044368,307.5220972568887
-330,280,-290.1899080306828,312.24784025965585
-330,285,-289.67282826533943,317.7586792879257
-330,290,-289.4738093033648,321.61051891032565
-330,295,-289.54855305574546,326.48024416479757
-330,300,-289.5473510805533,331.56331169319736
-330,305,-289.120103667902,335.13512481634393
-330,310,-289.09919974053264,340.18263966316783
-330,315,-288.8214867508041,344.67923602259106
-330,325,-289.3479578972306,352.2821143679098
-330,330,-288.5816367381719,357.79545201566765
-330,335,-288.5952422288808,362.58296862294225
-330,340,-288.39674696252774,366.88242321322224
-330,345,-288.2475133714163,372.2747039387519
-330,350,-288.1812666862436,376.71677773608815
-330,355,-287.7542790411963,381.81795797844467
-330,360,-287.7535222632364,387.45914874654136
-330,365,-287.3767225235467,392.4534232612735
-330,370,-287.2799329845893,396.462237723013
-330,375,-286.9730062751863,400.9026765554354
-320,200,-284.0674071674205,239.39363680823524
-320,205,-283.4477601013253,244.2213920404981
-320,210,-283.7054531451816,248.64830535293447
-320,215,-283.1898366390138,252.6065992766994
-320,220,-283.28660012022664,257.3330279090371
-320,225,-283.3195716961973,262.4057729258492
-320,230,-283.0388185188308,265.6691882537365
-320,235,-283.00642059492117,270.2851235826172
-320,240,-282.94008912856395,273.94543206945224
-320,245,-282.78979200459924,278.4479000863069
-320,250,-283.3371104055539,283.2160805964916
-320,255,-282.5323200832639,287.4750706935118
-320,260,-282.2794185192478,292.29689070829494
-320,265,-282.7850769650583,297.98043856029483
-320,270,-281.89894739274484,301.91255314507004
-320,275,-281.73936090705297,306.88342149861074
-320,280,-281.6199514555702,312.0638174792644
-320,285,-281.354967230503,316.7021494955382
-320,290,-280.80477269668734,320.66102658582685
-320,295,-280.5333942379578,325.6791895585559
-320,300,-280.52172962756106,329.00310465979584
-320,305,-280.67903363843055,334.7059726392643
-320,310,-280.33404552523183,339.54826695293013
-320,315,-280.00899686455614,343.9773836905367
-320,320,-279.63627219667046,348.6169167494496
-320,325,-279.70777539649475,352.80825091121386
-320,330,-279.63533941575326,357.40845894331136
-320,335,-279.67406050602085,362.9054004000562
-320,340,-279.9353650893438,367.23007213978985
-320,345,-279.8555286795764,371.247588990136
-320,350,-279.89524431842136,376.9770856603928
-320,355,-279.4556589776159,381.2315802275845
-320,360,-279.2427881082776,386.18068892087706
-320,365,-278.74433728958877,390.35448919415444
-320,370,-278.6445830051006,395.51041586536195
-320,375,-278.26217885124856,399.44715259972145
-310,200,-275.85166142353427,238.19674817932545
-310,205,-274.98784351138755,242.47036742711802
-310,210,-274.90445695409636,246.11615302322858
-310,215,-274.72452330452,250.4366128390668
-310,220,-274.57012080759625,255.37241128693415
-310,225,-274.58169394090766,259.9552119304526
-310,230,-274.34993009556854,265.4819479313631
-310,235,-274.1467568732195,269.3423734896375
-310,240,-274.37336674771666,273.69403686964097
-310,245,-274.17091929730645,279.03084926496746
-310,250,-273.81954853747163,283.07242804269947
-310,255,-273.8654069829626,288.2560285575256
-310,260,-274.06511153953494,292.32242788632396
-310,265,-273.6311267216396,296.87446181463923
-310,270,-273.0653583057202,302.0263940519333
-310,275,-273.2437730660973,306.3256717961059
-310,280,-273.05770107927754,311.8415031163976
-310,285,-272.5239308208654,315.066977450019
-310,290,-272.4611000261448,320.5704760188315
-310,295,-272.43622654206285,325.23961121744657
-310,300,-272.4522397834283,329.2477711549495
-310,305,-272.40931369428,334.3217080637554
-310,310,-272.2001551993324,339.0946070146908
-310,315,-271.80709071000945,343.12406845775115
-310,320,-271.7297254651316,347.6425083092087
-310,325,-271.3291137188204,352.0492702609346
-310,330,-271.3704521124127,357.10766129358353
-310,335,-271.13889663181817,362.2616560830834
-310,340,-271.2002328739911,366.6127029198878
-310,345,-270.9690432427152,371.33252330690425
-310,350,-270.7697006120102,375.8359341481336
-310,355,-271.07706284868794,381.7748696215942
-310,360,-270.8234402689286,385.3660238031486
-310,365,-270.5739011010475,391.14347157029636
-310,370,-270.179993718382,394.15293935336564
-310,375,-270.1819989211352,399.05868293906383
-300,200,-266.7802104608143,235.77774724736966
-300,205,-266.0829760092042,241.92237608682422
-300,210,-265.72034667795265,246.45436667742854
-300,215,-266.0207102149758,250.96053516085956
-300,220,-265.6620729783765,255.2021715842107
-300,225,-266.61660565481975,259.55940848078984
-300,230,-265.56722154474,264.04775374575814
-300,235,-265.9270733628414,269.2190067711812
-300,240,-265.5563854286558,273.3315628739179
-300,245,-266.0127018880695,277.88750968557815
-300,250,-265.4859040890141,282.7896197214547
-300,255,-265.3980890392693,286.5730771459237
-300,260,-265.3902356043085,292.4844859269122
-300,265,-264.84415834370924,296.37323046364065
-300,270,-263.6806041239113,302.130418994537
-300,275,-263.42108658594054,305.49542106168377
-300,280,-263.86297696471587,310.37437732009687
-300,285,-263.963643659776,314.68669301461614
-300,290,-263.8725537860508,319.00981255011334
-300,295,-263.7954394367505,323.4789909991751
-300,300,-263.8681866666035,328.01594614204
-300,305,-263.67654854701306,333.6232400410721
-300,310,-262.3596316043118,338.2936005650956
-300,315,-262.40869273487033,342.91163329438893
-300,320,-262.00365439858894,347.4368456317014
-300,325,-261.41773586285206,352.5939451962846
-300,330,-261.6467961537114,356.6550696630653
-300,335,-261.2923558481745,361.62166930127825
-300,340,-261.8646212726814,366.6881004851383
-300,345,-261.2145907414223,370.264167031606
-300,350,-261.6050084686665,376.09659131300305
-300,355,-261.3132382611127,380.178757863716
-300,360,-261.00716712652667,384.9871916722614
-300,365,-261.1309600822938,390.33994677971106
-300,370,-261.2138904200415,394.49981075950006
-300,375,-260.8286726711439,399.587842648729
-290,200,-256.60805030640563,237.1153816264926
-290,205,-257.4665137792258,241.11141064144698
-290,210,-257.19504719285567,246.0476908029995
-290,215,-257.26766032189124,250.1388923101576
-290,220,-257.37542149534147,253.43733000242244
-290,225,-256.746538589076,259.24311085775037
-290,230,-257.2849779053777,263.09897874941987
-290,235,-257.03531522693186,267.76656974630987
-290,240,-256.8393945284824,272.40491254639977
-290,245,-256.95821164212794,276.8089633598741
-290,250,-254.79809926619885,282.03226105007917
-290,255,-254.94226569674086,285.95297657322544
-290,260,-254.61455625155108,290.9409828232002
-290,265,-254.45597427443687,294.4009595494412
-290,270,-254.36234413901985,300.45645327855146
-290,280,-254.07760185783923,309.9154193174951
-290,285,-253.9056954117211,313.1806424701223
-290,290,-253.9749098981225,318.62336043301747
-290,295,-253.7283925514932,322.94384756085526
-290,300,-253.35028425672897,327.4880792128674
-290,305,-253.08527986409874,332.8468883126667
-290,310,-253.05543930371385,337.72052597398584
-290,315,-252.40344182770116,341.55996327666855
-290,320,-252.70180194374993,347.08934314008684
-290,325,-252.76703762041032,351.7949785478729
-290,330,-252.76466543145153,356.6964298649576
-290,335,-252.80005194818253,360.57926279037497
-290,340,-252.00517941873468,363.8642619955795
-290,345,-251.9531966638235,368.87646622710156
-290,350,-252.19588630429405,374.99676684694407
-290,355,-251.87553139345755,379.6646306226888
-290,360,-251.8625697456212,383.90278692923016
-290,365,-251.69414857780083,389.099880351145
-290,370,-251.49889182928354,394.65394377567014
-290,375,-251.4554267312559,398.98334446708236
-280,200,-248.22204881980397,236.54468855115786
-280,205,-248.02752570331498,240.90193511704973
-280,210,-247.60052236198933,244.95820370450124
-280,215,-246.95313077141157,249.2938180802591
-280,220,-247.12292026658,253.3120794059054
-280,225,-247.97886438050887,258.3253095205287
-280,230,-247.7988951513825,262.25411504830436
-280,235,-247.51507371901417,266.6783202424738
-280,240,-246.95624102587269,271.534408171499
-280,245,-245.68369368329786,276.5473704388986
-280,250,-246.16112299865816,282.1735690766597
-280,255,-246.10288232695262,286.9762152754118
-280,260,-244.84823171969643,291.9855665400862
-280,265,-245.19190584402608,295.6159454828589
-280,270,-245.67069650047077,300.0825102202659
-280,275,-245.29469389440573,304.2397999361303
-280,280,-245.16741639597686,309.1388151763208
-280,285,-245.33596617682713,313.5287531337186
-280,290,-245.02598147706018,318.2239033582896
-280,295,-244.5510437715808,323.0863922798294
-280,300,-244.38925204873297,327.81285511332027
-280,305,-244.10557334347638,331.67688351065885
-280,310,-244.1968727796914,336.13850723922275
-280,315,-243.81028674209537,341.5685828634888
-280,320,-243.7245961298364,345.67754287048587
-280,325,-243.66443377969725,350.7183084183837
-280,330,-243.34612297637776,355.4979224683554
-280,335,-243.0098187105185,359.81536663856434
-280,340,-243.25394699232297,363.90585633479805
-280,345,-243.48624372461833,368.682286166651
-280,350,-243.28251622342066,373.7667276634159
-280,355,-242.87248969807615,378.7067211315718
-280,360,-241.87938325699426,383.3851561130524
-280,365,-242.10837439665326,388.16930714309456
-280,370,-242.17025471456273,393.51303647351676
-280,375,-242.14213260712268,400.09642877536766
-270,200,-239.45053352871884,234.04117484772206
-270,205,-239.49028195913985,239.94042715841343
-270,210,-239.40771919553455,244.15336763270562
-270,215,-239.13746377927237,249.0337674087935
-270,220,-239.02360695120427,253.62008427477525
-270,225,-239.43202886935126,258.0826342840907
-270,230,-239.01444378679253,262.64647688440124
-270,235,-238.39242391550067,266.7934920028851
-270,240,-237.65563375988768,272.0118924689171
-270,245,-237.62129872316595,276.0169323433944
-270,250,-238.03941510693195,282.2827837235597
-270,255,-237.8529422782917,287.4794423548027
-270,260,-237.53257351826082,290.0913847600607
-270,265,-237.14052096246843,294.7495415101144
-270,270,-236.9604802977602,299.2141005864977
-270,275,-237.24158293980253,303.74094566161335
-270,280,-237.57505599565354,308.849046395172
-270,285,-237.30770231002,313.0354440136847
-270,290,-236.71752806159836,316.35764506622803
-270,295,-236.76962199483833,321.8639989086716
-270,300,-236.62791157754123,326.2988436368223
-270,305,-235.40522343545643,331.6285729539696
-270,310,-234.79925969796005,336.97741416508813
-270,315,-234.24404542385233,340.67532291894565
-270,320,-234.51822494575424,345.37231119568725
-270,325,-234.44915024324573,350.1556881632799
-270,330,-234.35668212179894,354.3873800968417
-270,335,-234.4054704857588,358.88990403918
-270,340,-234.13597798590027,363.6570452351984
-270,345,-233.9380476486384,368.3093508186805
-270,350,-233.16552859112454,373.03984334615876
-270,355,-233.4738247058563,378.3460914965786
-270,360,-233.2563606489444,383.8297911928829
-270,365,-233.3777798350093,388.92721328103164
-270,370,-233.28997368570438,393.89280396714173
-270,375,-233.0320060057063,397.71000936790676
-260,200,-230.0014771238239,236.04975376283105
-260,205,-229.81324987538937,239.34195076246903
-260,210,-229.89479046042752,243.25107919108333
-260,215,-227.88602860711734,249.19402211246685
-260,220,-227.74058322305672,252.29463218530697
-260,225,-227.3740799701226,257.21239153536465
-260,230,-227.14832618517664,261.3801596247623
-260,235,-226.91846777218254,266.3697415089116
-260,240,-226.62244892981013,271.11108438912987
-260,245,-226.45915925639918,275.4860798985573
-260,250,-226.39297439899545,279.944762074621
-260,255,-226.75294949584318,284.8861230495505
-260,260,-225.80559167174334,289.68599795249963
-260,265,-224.96423224147262,293.59423968289843
-260,270,-224.77290927616178,298.7286320814416
-260,275,-225.73639016148206,303.311776498621
-260,280,-225.39091345140338,308.2958482450897
-260,285,-225.08914713500613,312.2433089372617
-260,290,-224.95119443758026,317.17301407447013
-260,295,-224.42519852608112,322.2755506382187
-260,300,-224.36021755659996,326.15448394442365
-260,305,-224.26650394466674,331.522267896629
-260,310,-223.92009400559982,335.91181855748687
-260,315,-223.8079682401615,340.86511484260524
-260,320,-223.52338324523828,346.62054983523416
-260,325,-223.37758438212407,351.47830796546714
-260,330,-223.09690504701513,354.83129187513174
-260,335,-223.06851345492993,359.0316205496282
-260,340,-222.83720337337553,364.012544154696
-260,345,-222.80801766367213,368.7510639023705
-260,350,-222.6226897149187,372.69074156775713
-260,355,-222.09012911847287,378.77785233004226
-260,360,-222.1168553571307,383.01417057399067
-260,365,-222.00485269331696,387.47748835564585
-260,370,-221.93373578399337,392.7419761489586
-260,375,-221.80555310028242,396.7262253525218
-250,200,-219.4108053743734,234.7565402109327
-250,205,-219.92301615093214,238.32984357514303
-250,210,-219.70163959123894,242.31894602714445
-250,215,-219.77988302411927,247.75437363516045
-250,220,-219.47857322102672,252.2095329019559
-250,225,-219.07918167080564,257.1042161200796
-250,230,-219.10343016720748,261.92525132922674
-250,235,-219.00358283346588,266.520442380166
-250,240,-218.75983468487945,270.7284643627159
-250,245,-218.413158143881,275.3564593072515
-250,250,-218.1127061875522,279.9929211474262
-250,255,-218.3283017833011,284.27532749296233
-250,260,-218.04282429691946,289.2089142599221
-250,265,-217.94378786622792,294.0850587921303
-250,270,-217.3300100806218,298.22253615576767
-250,275,-217.2649264861898,303.429401328746
-250,280,-217.30203234068665,307.9912563742326
-250,285,-216.93356231666476,312.668920236752
-250,290,-216.9485584742838,316.9660206879089
-250,295,-216.83103550709245,322.2377128643299
-250,300,-216.2663321125367,326.0642316279662
-250,305,-215.88453565494268,330.65413750025226
-250,310,-215.85887822795493,335.80960218358905
-250,315,-215.70241517192932,340.2390994382268
-250,320,-214.93822954930508,345.4707798479752
-250,325,-213.51743942047497,350.6815231737736
-250,330,-214.304330911296,354.67244184803764
-250,335,-214.39695354905473,359.1980535573136
-250,340,-214.92384254249123,363.31643451675455
-250,345,-214.75941460447274,368.320566078638
-250,350,-214.5543677283163,372.4783378970624
-250,355,-214.4659241360239,377.2275160255495
-250,360,-214.28385310558315,382.9157717240766
-250,365,-214.1373731718469,387.19283417183044
-250,370,-213.90804843348977,391.97405602697216
-250,375,-213.93334621913306,398.383773544127
-240,200,-210.70584871538702,233.17093305505787
-240,205,-211.87856280798155,238.70422586903194
-240,210,-211.2432452998641,243.28175800369308
-240,215,-211.3987654467013,247.67622877417799
-240,220,-211.13617575213863,252.58059634129512
-240,225,-211.26218586737303,256.3560096506689
